,STATE,STATUS,STATE SUMMARY,Source of Action,Name of Source,Type of Action,Order/declaration affects residential eviction/civil proceedings ,Hyperlink to Source (Not Included in State Summary Row),Date of Issue,Effective Date,Expiration Date ,Date Moratorium Began to Lift,Expired/Replaced,Prohibits law enforcement from executing new and past orders of eviction,"Status of non-emergency civil court proceedings 
",Remote hearings allowed in non-emergency civil cases ,"Applies to civil cases, which should include eviction cases ",Applies to eviction cases directly,Applies to commercial eviction directly,Applies to foreclosure or foreclosure eviction cases directly,"Exempts criminal activity, damage to property, emergency, nuisance or cases to protect public health from eviction freeze ",Only applies to certain eviction cases ,"If limited to certain eviction cases, the freeze only applies to these cases  
","Tolls, extends or stays court deadlines",Date to which deadlines are tolled,"Suspends all five stages of eviction (notice, filing, hearing, ruling, execution) ",1. Suspends Notice of Eviction to Tenant ,2. Suspends Filing of Eviction Claim,3. Suspends Hearings on Eviction ,"4. Stays Order, Judgment or Writ of Eviction ",5. Suspends enforcement of new order of eviction,Prohibits issuance of late fees to landlord ,Requires certification that property is not covered under CARES Act Moratorium,Order/Declaration discusses effect of housing on public health,Order/Declaration discusses economic consequences on housing,Model order,Brief Summary of What Order Does,Moratorium Extended Past Emergency Declaration,Free Utility Reconnection,No Utility Disconnection,No Reporting to Credit Bureau,Grace Period to Pay Rent,Length of Time for Grace Period,No Late Fees,"Length of Time for No Late Fees 
mm/dd/yyyy",Legal Counsel for Tenants,No Rent Raises,"Length of Time for No Rent Raises
mm/dd/yyyy",Foreclosure Moratorium,"Length of Time for Foreclosure Moratorium
mm/dd/yyyy",Housing Stabilization,Length of time for Housing Stabilization mm/dd/yyyy
,WEST VIRGINIA (WV) PEAK COVERAGE SUMMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WEST VIRGINIA (WV),,,Court,,,Y,WV_SupremeCourtofAppeals_ResumptionofOperations_050620,5/6/20,5/6/20,5/15/20,,N,N,In-Person Suspended & Remote Allowed,Y,Y,N,N,N,Y,N,N/A,Y,5/18/20 (for deadlines expiring between 3/23 and 4/17); 6/12/20 (for deadlines expiring between 4/18 and 5/15),N,N,N,In Effect Y,N,N,N,N,N,N,N,In person proceedings may resume on 5/18; nonemergency in-person proceedings are continued until then.,,,,,,,,,,,,,,,
,WEST VIRGINIA (WV),,,Court,,,Y,WV_CourtofAppeals_Order_042220,4/22/20,4/22/20,5/15/20,,Y,N,In-Person Suspended & Remote Allowed,Y,Y,Y,N,N,Y,N,N/A,Y,5/18/20,N,N,N,In Effect Y,N,N,N,N,N,N,N,"Judicial emergency extended until 5/15. Nonemergency proceedings may be conducted remotely, but only with consent of the parties; and eviction proceedings may not be held until May 18 unless harm would occur. Deadlines extended to 5/18.",,,,,,,,,,,,,,,
,WEST VIRGINIA (WV),,,Court,,,Y,WV_SupremeCourt_Order040220,4/3/20,4/3/20,5/1/20,,Y,N,All Suspended,N,Y,N,N,N,N/A,N/A,N/A,Y,5/4/20,N,N,N,In Effect Y,N,N,N,N,N,N,N,Order extends judicial emergency and suspends all non-emergency proceedings. Order supersedes local orders.,,,,,,,,,,,,,,,
,WEST VIRGINIA (WV),,,Court,,,Y,WV_SupremeCourt_Order_032220,3/22/20,3/22/20,4/11/20,,Y,N,All Suspended,N,Y,N,N,N,N/A,N/A,N/A,Y,4/11/20,N,N,N,In Effect Y,N,N,N,N,N,N,N,Order declares a judicial emergency and stays all proceedings and deadlines in all 55 counties.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WISCONSIN (WI) CURRENT SUMMARY,Evictions Can Resume (Remote),"As of 5/26 the Governor's moratorium on evictions and foreclosures for non-payment expired. Courts can conduct eviction proceedings remotely, and in June, evictions were up 40% compared to last year. Wisconsin has passed a Rental Assistance Program that provides eligible applicants may receive up to $3000. The Department of Agriculture, Trade, and Consumer Protection, created an emergency rule that landlords cannot charge late fees or penalties during COVID-19, however a legislative committee voted to block the rule. The Supreme Court explicitly declined to adopt a CARES Act pleading requirement. According to the the Public Service Commission of Wisconsin, all regulated utilities must suspend utility disconnection and suspend late fees until 9/1.",Court/Governor,,,Y,,,,05/26/20,,,N,In-Person Suspended & Remote Allowed,Y,Y,Y,N,Y,Y,Y,N/A,N,N/A,N,N,N,N,N,N,N,N,Y,Y,Y,,,,Y,N,N,,N,,N,N,NA,N,NA,Y ,
,WISCONSIN (WI) PEAK COVERAGE SUMMARY,Nonpayment Eviction Cases and Enforcement Suspended,"From March 27th to May 28th, the Governor's executive order prohibited the commencement of eviction actions based on failure to pay rent and foreclosure and has prohibited the sheriffs from initiating a sheriff's sale of foreclosed property or execution of eviction orders. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WISCONSIN (WI),,,Court,Supreme Court,Eviction Moratorium,Y,WI_SupremeCourt_Decision_060520,6/5/20,,N/A,,N/A,N,N/A,N/A,Y,Y,N,Y,N,N,N/A,N/A,N/A,N,N,N,N,N,N,N,N,N,N,N,"In response to an emergency request for a temporary rule requiring landlords to plead compliance with the CARES Act moratorium, the WI Supreme Court declared that it would not impose such a pleading requirement because Wisconsin law did not require it. In a concurrence, Justice Bradley agreed with the majority but sought to provide guidance for circuit courts on how they could still comply with federal law. She included affidavits and forms adopted by other states as an appendix to give circuit courts examples of how they could implement a pleading requirement locally.",N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,WISCONSIN (WI),,,Court,Supreme Court,Eviction Moratorium,Y,WI_SupremeCourt_Order_052220,5/22/20,5/22/20,N/A,N/A,,N,In-Person Suspended & Remote Allowed,Y,Y,N,N,N,N,N,N/A,N,N/A,N,N,N,N,N,N,N,N,N,N,N,Extends orders regarding remote proceedings for in-person hearings and the temporary mailbox rule. These orders are to subside only when each circuit court has submitted a reopening plan based on recommendations from the state task force. Plans must be submitted to and approved by the chief judge.   ,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,WISCONSIN (WI),,,Court,Supreme Court,Eviction Moratorium,Y,WI_SupremeCourt_041520,4/15/20,4/15/20,open,,N,N,All Suspended,Y,Y,N,N,N,N/A,N/A,N/A,N,N/A,N,N,N,N,N,N,Y,N,N,N,N,In person proceedings suspended. Statutes requiring in-person appearances can be waived.,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,WISCONSIN (WI),,,Court,Supreme Court,Eviction Moratorium,Y,WI_SupremeCourt_Order_041320,4/13/20,4/13/20,open,,N,N,In-Person Suspended & Remote Allowed,Y,Y,N,N,N,N,N/A,N/A,N,N/A,N,N,N,N,N,N,N,N,N,N,N,"Creates a ""temporary mailbox rule,"" stating documents will be considered filed on the day they are put in the mail or given to a commercial carrier, if accompanied by a Statement of Mailing that says who mailed the document and certifies they did so.",N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,WISCONSIN (WI),,,Court,Supreme Court,Eviction Moratorium,Y,WI_SupremeCourt_Order_032220,3/22/20,3/22/20,4/30/20,,Partial,N,In-Person Suspended & Remote Allowed,Y,Y,N,N,N,N/A,N/A,N/A,N/A,N/A,N,N,N,N,N,N,N,N,N,N,,Order suspends in person proceedings and requires local judges to use available techonologies in lieu of in person court appearances.,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,WISCONSIN (WI),,,Governor,Gov. Tony Evers,Eviction Moratorium,Y,WI_Governor_ExecOrder_032720,3/27/20,3/27/20,5/28/20,,Y,N,N/A,N/A,N/A,Y,Y,Y,Y,Y,Non-payment,N/A,N/A,N,Y,Y,N,In Effect Y,Y,N,N,Y,Y,Y,Declaration prohibits landlords and mortgagees from commencingin a civil action of eviction or foreclosure that are based on failure to pay rent. Sheriffs may not conduct sheriff's sale or execute an eviction order. ,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,WISCONSIN (WI),,,Governor,"Department of Agriculture, Trade and Consumer Protection",Tenancy Preservation,N,WI_DATCP_Rule_042520,4/29/20,04/29/20,Earliest of three dates: 150 days after the emergency rule is published in the official state newspaper; 90 days after the expiration of the public health emergency; 90 days after recission of the proclamation of the public health emergency.,,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N,Y,N,"The Wisconsin Department of Agriculture, Trade and Consumer Protection has approved an emergency rule to prohibit late fees or penalties for missed or late rent payments during COVID-19. The emergency rule (Wis. Admin. Code Ch. ATCP 134) prevents landlords from charging latefees or penalties for missed or late rent payments.",Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
,WISCONSIN (WI),,,Governor,Wisconsin Dept. of Administration,Tenancy Preservation,N/A,WI_DeptAdmin_WRAP_060420,6/4/20,6/15/20,,,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Program to provide direct assistance to tenants. Eligible applicants must be ""adult Wisconsin residents with a household income at or below 80% of the county median income in the month of or prior to the application date."" Applicants can receive up to $3000 in assistance for rent or security deposits.",N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y
,WISCONSIN (WI),,,Utility Board,Wisconsin Public Service Commission,Utilities,N/A,WI_PublicService_Announcement_072220,7/22/20,7/22/20,9/1/20,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,,"Utility providers in Wisconsin must not shut off water, electric, and natural gas utilities until the crisis has been lifted. Prohibits late fees.",Y,N/A,Y,N/A,N/A,N/A,Y,Length of order. ,N/A,N,N/A,N/A,N/A,N/A,N/A
,WISCONSIN (WI),,,Utility Board,Public Service Commission of Wisconsin,Utilities,N/A,WI_PublicServiceCommission_UtilitiesOrder_032020,3/20/20,3/20/20,7/25/20,,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,Y,"Pursuant to a March 24, 2020 order by the Public Service Commission of Wisconsin, all regulated utilities in the state must take specific actions in response to the COVID-19 emergency, including suspending utility disconnection for nonpayment for all customers, suspending late fees, and allowing deferred payment agreements for all customers who request them.",N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WYOMING (WY) CURRENT SUMMARY,Evictions Can Resume (Remote),Judges can conduct eviction hearings remotely. The legislature has allocated funding for rental relief measures that provide assistance for those struggling to pay rent due to COVID-19 financial hardship. Utilities disconnections may be suspended throughout the length of the emergency but the state has not ordered this.,Court,,,Local Discretion,,,,N/A,,N,N,Local Discretion,Y,Y,N,N,N,N/A,N/A,N/A,N,N/A,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,,N,,N,N,,N,,Y,
,WYOMING (WY) PEAK COVERAGE SUMMARY,Local Discretion,"The Supreme Court of Wyoming orders that in person cases ""should"" be suspended and encourages the use of remote technology.",Court,,,Local Discretion,,,,N/A,,N,N,Local Discretion,Y,Y,N,N,N,N/A,N/A,N/A,N,N/A,N,N,N,Local Discretion,N,N,N,,N,N,N,,,,,,,,,,,,,,,,
,WYOMING (WY),,,Court,Supreme Court,Eviction Moratorium,Local Discretion,WY_SupremeCourt_FourthOperatingOrder_061220,6/12/20,6/12/20,8/3/2020,,N,N,Local Discretion,Y,Y,N,N,N,N/A,N/A,N/A,N,N/A,N,N,N,Local Discretion,N,N,N,N,N,N,N/A,"Expands 5/15 order that allows judges to conduct hearings by telephonic or video means, or in-person under conditions approved under the court's approved COVID-19 operating order to allow remote bench trials under certain conditions. ",N/A,N,N,N,N,,N,,N,N,,N,,N,
,WYOMING (WY),,,Court,Supreme Court,Eviction Moratorium,Local Discretion,WY_SupremeCourt_Order_051520,5/15/20,5/15/20,8/3/20,,N,N,Local Discretion,Y,Y,N,N,N,N/A,N/A,N/A,N,N/A,N,N,N,Local Discretion,N,N,N,N,N,N,N,"Extend 04/30/20 Order, §4 allows judges at each courthouse to file COVID-19 Operating Plans with the Supreme Court to explain how the Courts will be conducting hearings in compliance with the Supreme Court's operating guidelines.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
,WYOMING (WY),,,Court,Supreme Court,Eviction Moratorium,Local Discretion,WY_SupremeCourt_Order_043020,4/30/20,4/30/20,5/31/20,,Y,N,Local Discretion,Y,Y,N,N,N,N/A,N/A,N/A,N,N/A,N,N,N,Local Discretion,N,N,N,N,N,N,N,Slightly amends earlier order. Encourages steps to promote distancing/exclusion of certain people from courthouse; electronic filing; recommends suspension of in person hearings. Hearings and trials should be postponed unless judge finds they can be held through technology.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
,WYOMING (WY),,,Court,Supreme Court,Eviction Moratorium,Local Discretion,WY_SupremeCort_Order_040120,4/1/20,4/1/20,5/31/20,,Y,N,Local Discretion,Y,Y,N,N,N,N/A,N/A,N/A,N,N/A,N,N,N,Local Discretion,N,N,N,N,N,N,N,Order extends earlier order.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
,WYOMING (WY),,,Court,Supreme Court,Eviction Moratorium,Local Discretion,WY_SupremeCourt_Order_031820,3/18/20,3/18/20,4/10/20,,Y,N,Local Discretion,Y,Y,N,N,N,N/A,N/A,N/A,N,N/A,N,N,N,Local Discretion,N,N,N,N,N,N,N,Order recommend the suspension of in person hearings and encourages use of remote technology.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
,WYOMING (WY),,,Legislation,Wyoming Legislature,Tenancy Preservation,N,WY_Senate_WyomingEmergencyHousingAssistanceProgram_060120,6/1/20,6/4/20,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,"Application site for government program that offers up to $2000 to tenants/homeowners facing financial difficulties. Looks at houshold gross monthly income, mortgage payment/rent, and monthly hazard insurance payment to determine how much can be each allocated to applicant. Also on the website is a list of FAQs regarding the program.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A
,WYOMING (WY),,,Legislation,Wyoming Legislature,Tenancy Preservation,N,WY_Legislation1002_RentAssistance_052020,5/20/20,5/20/20,"12/31/2020 or Governor's order, whichever is first",,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Creates a rental assistance program for owners of properties whose tenants are impacted by COVID-19 [§ 4(a)]. Alternatively, the Governor may create a program that provides rent assistance, security deposits, mortgage assistance, or hazard insurance assitance directly to renter/homeowners through the WY Community Development Authority [§ 4(b)]. Under § 4(b), direct payments would be limited to individuals who have suffered a loss in income that resulted from COVID-19. The program will be funded with $15 million from the CARES Act and other sources [§ 4(d).",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,
,WYOMING (WY),,,Utility Board,Wyoming Public Service Commission,Utilities,N,WY_PublicServiceCommission_UtilitiesOrder_032620,3/26/20,3/26/20,End of emergency ,,N,N,N/A,N/A,N/A,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N/A,"Authorizes public utility providers in Wyoming to suspend disconnections, late fees, and any other terms of service during the COVID-19 crisis. ",N/A,N,N,N,N,,N,,N,N,,N,,N,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AMERICAN SAMOA (AS) CURRENT SUMMARY,No Order/Declaration,No order,No Order/Declaration,,,No Order/Declaration,,,,N/A,,N/A,No Order/Declaration,No Order/Declaration,No Order/Declaration,No Order/Declaration,No Order/Declaration,No Order/Declaration,No Order/Declaration,No Order/Declaration,No Order/Declaration,No Order/Declaration,No Order/Declaration,N/A,No Order/ Declaration,No Order/Declaration,No Order/Declaration,No Order/Declaration,No Order/Declaration,No Order/Declaration,No Order/Declaration,,No Order/Declaration,No Order/Declaration,N,,,,,,,,,,,,,,,,
,AMERICAN SAMOA (AS) PEAK COVERAGE SUMMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AMERICAN SAMOA (AS),,,No Order/Declaration,,,No Order/Declaration,,,,N/A,,N/A,No Order/Declaration,No Order/Declaration,No Order/Declaration,No Order/Declaration,No Order/Declaration,No Order/Declaration,No Order/Declaration,No Order/Declaration,No Order/Declaration,No Order/Declaration,No Order/Declaration,N/A,No Order/ Declaration,No Order/Declaration,No Order/Declaration,No Order/Declaration,No Order/Declaration,No Order/Declaration,No Order/Declaration,,No Order/Declaration,No Order/Declaration,N,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
